TIMING,GRID_NUM,TYPE,NOTE_TYPE,ANGLE,EVENT_NAME,DURATION,EVENT_TYPE,VALUE0,VALUE1,VALUE2,VALUE3,VALUE4
15188,1296,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
15938,1360,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
16781,1432,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
16969,1448,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
17156,1464,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
17344,1480,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
17531,1496,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
17719,1512,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
17906,1528,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
18094,1544,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
18281,1560,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
18469,1576,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
18656,1592,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
18844,1608,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
19031,1624,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
19219,1640,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
19406,1656,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
21094,1800,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
21562,1840,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
21844,1864,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
21938,1872,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
22312,1904,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
22688,1936,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
23062,1968,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
23344,1992,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
23438,2000,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
23625,2016,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
23719,2024,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
23812,2032,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
24000,2048,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
24188,2064,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
24562,2096,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
24750,2112,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
24844,2120,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
24938,2128,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
25219,2152,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
25406,2168,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
25594,2184,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
25641,2188,0,2,90,-1,-1,-1,-1,-1,-1,-1,-1
25969,2216,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26062,2224,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26156,2232,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26250,2240,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26344,2248,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26438,2256,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26531,2264,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26625,2272,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26719,2280,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26812,2288,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
26906,2296,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
27000,2304,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
27094,2312,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
27188,2320,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
27562,2352,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
27844,2376,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
27938,2384,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
28312,2416,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
28688,2448,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
29062,2480,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
29250,2496,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
29438,2512,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
29625,2528,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
29672,2532,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
29719,2536,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
29906,2552,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
30094,2568,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
30562,2608,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
30750,2624,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
30844,2632,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
30938,2640,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
31125,2656,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
31219,2664,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
31312,2672,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
31500,2688,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
31688,2704,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
31875,2720,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32062,2736,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32250,2752,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32438,2768,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32531,2776,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32625,2784,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32719,2792,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32812,2800,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
32906,2808,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
33000,2816,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
33094,2824,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
33469,2856,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
33750,2880,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
33844,2888,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
34219,2920,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
34594,2952,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
35062,2992,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
35250,3008,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
35438,3024,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
35625,3040,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
35719,3048,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
35812,3056,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
36000,3072,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
36188,3088,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
36375,3104,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
36562,3120,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
36750,3136,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
36844,3144,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
36938,3152,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
37125,3168,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
37312,3184,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
37500,3200,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
37688,3216,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38062,3248,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38156,3256,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38250,3264,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38344,3272,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38438,3280,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38531,3288,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38625,3296,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38719,3304,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38812,3312,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
38906,3320,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
39000,3328,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
39094,3336,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
39469,3368,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
39750,3392,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
39844,3400,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
40219,3432,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
40594,3464,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
40969,3496,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
41156,3512,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
41344,3528,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
41531,3544,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
41625,3552,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
41719,3560,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
41906,3576,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
42094,3592,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
42281,3608,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
42469,3624,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
42656,3640,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
42844,3656,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
43031,3672,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
43219,3688,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
43406,3704,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
43594,3720,0,1,90,-1,-1,-1,-1,-1,-1,-1,-1
43781,3736,0,1,90,-1,-1,-1,-1,-1,-1,-1,-1
43969,3752,0,1,90,-1,-1,-1,-1,-1,-1,-1,-1
44156,3768,0,1,90,-1,-1,-1,-1,-1,-1,-1,-1
44344,3784,0,1,90,-1,-1,-1,-1,-1,-1,-1,-1
44719,3816,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
44812,3824,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
44906,3832,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45000,3840,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45094,3848,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45375,3872,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45469,3880,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45562,3888,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45656,3896,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45750,3904,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
45938,3920,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
46125,3936,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
46312,3952,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
46500,3968,0,1,90,-1,-1,-1,-1,-1,-1,-1,-1
46781,3992,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
46875,4000,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
47062,4016,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
173906,14840,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
174000,14848,0,2,90,-1,-1,-1,-1,-1,-1,-1,-1
174188,14864,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
174281,14872,0,2,90,-1,-1,-1,-1,-1,-1,-1,-1
